"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","418","testCreateWithUnsafeCharactersInName","Surefire suite","Tue Jan 14 20:41:22 GMT 2025","passed","Tue Jan 14 20:41:22 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testCreateWithUnsafeCharactersInName"
"","1469","testSearchCreatedInstance","Surefire suite","Tue Jan 14 20:42:49 GMT 2025","passed","Tue Jan 14 20:42:51 GMT 2025","school.redrover.SearchBoxTest","Surefire test","school.redrover.SearchBoxTest","testSearchCreatedInstance"
"","233","testCreateFreestyleProjectWithEmptyName","Surefire suite","Tue Jan 14 20:45:35 GMT 2025","passed","Tue Jan 14 20:45:36 GMT 2025","school.redrover.FreestyleProjectTest","Surefire test","school.redrover.FreestyleProjectTest","testCreateFreestyleProjectWithEmptyName"
"","204","testCheckLinksSidePanel","Surefire suite","Tue Jan 14 20:43:15 GMT 2025","passed","Tue Jan 14 20:43:15 GMT 2025","school.redrover.StartPageTest","Surefire test","school.redrover.StartPageTest","testCheckLinksSidePanel"
"","204","testJenkinsVersionOnDashboard","Surefire suite","Tue Jan 14 20:43:11 GMT 2025","passed","Tue Jan 14 20:43:11 GMT 2025","school.redrover.FooterTest","Surefire test","school.redrover.FooterTest","testJenkinsVersionOnDashboard"
"","1933","testRenameByChevronDashboard","Surefire suite","Tue Jan 14 20:42:02 GMT 2025","passed","Tue Jan 14 20:42:04 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testRenameByChevronDashboard"
"","1999","testCreateNewItemFromFolderPage","Surefire suite","Tue Jan 14 20:51:36 GMT 2025","passed","Tue Jan 14 20:51:38 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testCreateNewItemFromFolderPage"
"","2389","testVerifyProjectOrderByNameASCByDefault","Surefire suite","Tue Jan 14 20:53:18 GMT 2025","passed","Tue Jan 14 20:53:21 GMT 2025","school.redrover.DashboardTest","Surefire test","school.redrover.DashboardTest","testVerifyProjectOrderByNameASCByDefault"
"","665","testCheckTitle","Surefire suite","Tue Jan 14 20:49:51 GMT 2025","passed","Tue Jan 14 20:49:52 GMT 2025","school.redrover.ManageJenkinsTest","Surefire test","school.redrover.ManageJenkinsTest","testCheckTitle"
"","1058","testDescriptionPreviewHide","Surefire suite","Tue Jan 14 20:43:52 GMT 2025","passed","Tue Jan 14 20:43:53 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testDescriptionPreviewHide"
"","13611","testVerifyProjectOrderByStatusASCByDefault","Surefire suite","Tue Jan 14 20:53:22 GMT 2025","passed","Tue Jan 14 20:53:36 GMT 2025","school.redrover.DashboardTest","Surefire test","school.redrover.DashboardTest","testVerifyProjectOrderByStatusASCByDefault"
"","562","testAddDisplayName","Surefire suite","Tue Jan 14 20:51:40 GMT 2025","passed","Tue Jan 14 20:51:40 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testAddDisplayName"
"","281","testCreateWithUnsafeCharactersInName","Surefire suite","Tue Jan 14 20:41:01 GMT 2025","passed","Tue Jan 14 20:41:02 GMT 2025","school.redrover.PipelineProjectTest","Surefire test","school.redrover.PipelineProjectTest","testCreateWithUnsafeCharactersInName"
"","237","testErrorDuringCreationWithDotInEnd","Surefire suite","Tue Jan 14 20:51:57 GMT 2025","passed","Tue Jan 14 20:51:58 GMT 2025","school.redrover.FolderTest","Surefire test","school.redrover.FolderTest","testErrorDuringCreationWithDotInEnd"
"","846","testCreate","Surefire suite","Tue Jan 14 20:43:38 GMT 2025","passed","Tue Jan 14 20:43:39 GMT 2025","school.redrover.OrganizationFolderTest","Surefire test","school.redrover.OrganizationFolderTest","testCreate"
"","127","testCreateJobAndJobNameVisibleOnStatusPage","Surefire suite","Tue Jan 14 20:48:28 GMT 2025","passed","Tue Jan 14 20:48:28 GMT 2025","school.redrover.MultibranchPipelineTest","Surefire test","school.redrover.MultibranchPipelineTest","testCreateJobAndJobNameVisibleOnStatusPage"
