"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","01 FreestyleProject","0","","4","0","US_01.002 Rename project","0"
"0","00 New Item","0","","26","0","US_00.001 Create Freestyle Project","0"
"0","01 FreestyleProject","0","","26","0","US_00.001 Create Freestyle Project","0"
"0","01 FreestyleProject","0","","11","0","US_01.008 Build item","0"
"0","01 FreestyleProject","0","","1","0","US_01.011 Delete description","0"
"0","01 FreestyleProject","0","","3","0","US_01.001 Add description","0"
"0","01 FreestyleProject","0","","19","0","US_01.002 Rename Project","0"
"0","","0","","0","0","","2"
"0","01 FreestyleProject","0","","4","0","US_01.004 Delete Project","0"
"0","01 FreestyleProject","0","","4","0","US_01.003 Disable/Enable Project","0"
"0","01 FreestyleProject","0","","3","0","US_01.005 View build changes","0"
"0","01 FreestyleProject","0","","1","0","US_01.012 Sidebar Menu Verification","0"
"0","01 FreestyleProject","0","","1","0","US_01.006 Workspace view","0"
"0","01 FreestyleProject","0","","1","0","US_01.010 Edit description","0"
"0","01 FreestyleProject","0","","1","0","US_01.013 Add Execute Shell Command","0"
"0","01 FreestyleProject","0","","2","0","US_01.007 Workspace delete","0"
